cds14,school_name,county,students_per_grade,charter
01100170109835,FAME Public Charter,Alameda,62.0,
01100170112607,Envision Academy for Arts & T,Alameda,37.0,1
01100170118489,Aspire California College Prep,Alameda,61.0,
01100170126748,Lps Oakland R&d Campus,Alameda,,1
01100170130401,Juvenile Hall/Court,Alameda,67.0,0
01100170130419,County Community (Alameda),Alameda,34.0,0
01100170130427,Alameda Co. Opportunity,Alameda,16.0,
01100170130625,Alternatives in Action High School,Alameda,34.0,1
01100170136101,Connecting Waters Charter - East Bay,Alameda,14.0,1
01100170136226,School 01100170136226,,153.0,1
01157250115725,School 01157250115725,,63.0,
01316090131755,Calif Schl.for the Blind,Alameda,2.0,0
01316170131763,CA Schl for the Deaf-Fremont,Alameda,85.0,0
01611190000001,District Students in NPS (Alameda) [1],Alameda,,0
01611190106401,Alameda Science and Technolog,Alameda,49.0,0
01611190119222,Nea Community Learning Center,Alameda,34.0,1
01611190130229,Alameda High,Alameda,467.0,0
01611190130609,Alameda Community Learning Ce,Alameda,60.0,1
01611190130625,Bay Area School of Enterprise,Alameda,38.0,
01611190132142,Encinal Junior/Senior High,Alameda,232.0,0
01611190132878,Encinal High,Alameda,238.0,
01611190134304,Island High  (Continuation),Alameda,68.0,0
01611270000001,District Students in NPS (Alameda) [2],Alameda,,0
01611270130294,MacGregor High (Continuation),Alameda,17.0,0
01611270130450,Albany High,Alameda,280.0,0
01611430000001,District Students in NPS (Alameda) [3],Alameda,,0
01611430122697,REALM Charter High,Alameda,86.0,
01611430131078,School 01611430131078,,,
01611430131177,Berkeley High,Alameda,804.0,0
01611430134924,Berkeley Technology,Alameda,41.0,0
01611430138552,REALM Charter,Alameda,65.0,
01611430161143,Home/hospital and independent study (Alameda) [1],Alameda,,
01611500000001,District Students in NPS (Alameda) [4],Alameda,,0
01611500102194,Redwood Alternative  High,Alameda,50.0,
01611500132225,Castro Valley High,Alameda,718.0,0
01611500133876,Castro Valley Virtual Academy,Alameda,10.0,0
01611500135533,Redwood Continuation High,Alameda,73.0,0
01611500161150,School 01611500161150,,,
01611680000001,District Students in NPS (Alameda) [5],Alameda,,0
01611680132746,Emery Secondary,Alameda,40.0,0
01611760000001,District Students in NPS (Alameda) [6],Alameda,,0
01611760130062,American High,Alameda,654.0,0
01611760130138,Robertson High (Continuation),Alameda,121.0,0
01611760130435,Vista Alternative,Alameda,12.0,0
01611760130534,Circle of Independent Learnin,Alameda,69.0,1
01611760133108,Fremont Adult,Alameda,,
01611760134270,Irvington High,Alameda,539.0,0
01611760134452,Kennedy (John F.) High (Alameda),Alameda,318.0,0
01611760135244,Mission San Jose High,Alameda,448.0,0
01611760138693,Washington High (Alameda),Alameda,489.0,0
01611920000001,District Students in NPS (Alameda) [7],Alameda,,0
01611920108670,LPS Hayward,Alameda,141.0,1
01611920113902,Impact Academy of Arts & Tech,Alameda,103.0,
01611920127944,Silver Oak High Public Montessori Charter,Alameda,40.0,1
01611920133009,Brenkwitz High,Alameda,132.0,0
01611920133520,School 01611920133520,,,
01611920133629,Hayward High,Alameda,395.0,0
01611920135319,Mt. Eden High,Alameda,466.0,0
01611920137646,Impact Academy of Arts & Technology,Alameda,86.0,1
01611920138339,Tennyson High,Alameda,378.0,0
01612000000001,District Students in NPS (Alameda) [8],Alameda,,0
01612000120931,Livermore Valley Charter Preparatory High,Alameda,86.0,
01612000130393,Vineyard Alternative,Alameda,38.0,0
01612000130492,Phoenix High (Continuation),Alameda,12.0,
01612000132670,Del Valle Continuation High,Alameda,81.0,0
01612000133397,Granada High (Alameda),Alameda,539.0,0
01612000134536,Livermore High,Alameda,457.0,0
01612340000001,District Students in NPS (Alameda) [9],Alameda,,0
01612340130054,Newark Memorial High,Alameda,342.0,0
01612340130484,Crossroads High (Alter.),Alameda,11.0,0
01612340130682,Progressive Academy,Alameda,1.0,
01612340135418,School 01612340135418,,,
01612340135426,"Bridgepoint High, Continuation",Alameda,37.0,0
01612420000001,District Students in NPS (Alameda) [10],Alameda,,0
01612420110460,Core Learning Academy,Alameda,109.0,0
01612420110478,Alternative Learning Academy,Alameda,12.0,0
01612420114629,New Haven Community Day,Alameda,3.0,
01612420126763,Independent Study,Alameda,51.0,0
01612420134635,School 01612420134635,,,
01612420134668,James Logan High,Alameda,774.0,0
